20180831-20180916-cccc-1-rapid-rumble-15+5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
20180917-20180925-cccc-1-rapid-rumble-15+5-stage-2.pgn: CCCC 1: Rapid Rumble (15|5) Stage 2
20180925-20181001-cccc-1-rapid-rumble-15+5-stage-3.pgn: CCCC 1: Rapid Rumble (15|5) Stage 3
20181003-20181006-cccc-1-rapid-rumble-15+5-bonus-games.pgn: CCCC 1: Rapid Rumble (15|5) Bonus Games
20181008-20181031-ccc-2-blitz-battle-5+2.pgn: CCC 2: Blitz Battle (5|2)
20181031-20181110-ccc-2-blitz-battle-5+2-stage-2.pgn: CCC 2: Blitz Battle (5|2) Stage 2
20181112-20181119-ccc-2-blitz-battle-5+2-stage-3.pgn: CCC 2: Blitz Battle (5|2) Stage 3
20181123-20181220-ccc-3-rapid-redux-30+5.pgn: CCC 3: Rapid Redux (30|5)
20181223-20190105-ccc-3-rapid-redux-stage-2-30-5.pgn: CCC 3: Rapid Redux Stage 2 (30|5)
20190106-20190121-ccc-3-rapid-redux-stage-3-30-5.pgn: CCC 3: Rapid Redux Stage 3 (30|5)
20190127-20190130-ccc-4-bullet-brawl-1-2.pgn: CCC 4: Bullet Brawl (1|2)
20190131-20190208-ccc-5-escalation-10-5.pgn: CCC 5: Escalation (10|5)
20190208-20190210-ccc-5-finals-10-5.pgn: CCC 5: Finals (10|5)
20190216-20190224-ccc-6-the-winter-classic-stage-1-5-2.pgn: CCC 6: The Winter Classic Stage 1 (5|2)
20190224-20190308-ccc-6-the-winter-classic-playoffs-10-10.pgn: CCC 6: The Winter Classic Playoffs (10|10)
20190309-20190316-ccc-6-the-winter-classic-final-10-10.pgn: CCC 6: The Winter Classic Final (10|10)
20190406-20190412-ccc-7-blitz-bonanza-final-5-2.pgn: CCC 7: Blitz Bonanza Final (5|2)
20190413-20190513-ccc-8-deep-dive-15-5.pgn: CCC 8: Deep Dive (15|5)
20190513-20190522-ccc-8-deep-dive-finals-15-5.pgn: CCC 8: Deep Dive Finals (15|5)
20190616-20190623-ccc-9-the-gauntlet-qualification-5-2.pgn: CCC 9: The Gauntlet Qualification (5|2)
20190623-20190630-ccc-9-the-gauntlet-quarterfinals-5-2.pgn: CCC 9: The Gauntlet Quarterfinals (5|2)
20190630-20190707-ccc-9-the-gauntlet-semifinals-5-2.pgn: CCC 9: The Gauntlet Semifinals (5|2)
20190707-20190712-ccc-9-the-gauntlet-final-10-5.pgn: CCC 9: The Gauntlet Final (10|5)
20190903-20190911-ccc-10-quarterfinals-10-3.pgn: CCC 10 Quarterfinals (10|3)
20190911-20190919-ccc-10-semifinals-10-3.pgn: CCC 10 Semifinals (10|3)
20190919-20190923-ccc-10-finals-10-3.pgn: CCC 10 Finals (10|3)
20191011-20191023-ccc-11-qualification-30-5.pgn: CCC 11 Qualification (30|5)
20191024-20191107-ccc-11-round-1-30-5.pgn: CCC 11 Round 1 (30|5)
20191109-20191119-ccc-11-round-2-30-5.pgn: CCC 11 Round 2 (30|5)
20191128-20191205-ccc-11-round-3-30-5.pgn: CCC 11 Round 3 (30|5)
20191208-20191215-ccc-11-semifinals-30-5.pgn: CCC 11 Semifinals (30|5)
20191216-20191223-ccc-11-finals-30-5.pgn: CCC 11 Finals (30|5)
20200104-20200105-ccc-12-0-houdini-vs-stoofvlees-1-1.pgn: CCC 12.0: Houdini vs Stoofvlees (1|1)
20200105-20200106-ccc-12-1-rubichess-vs-winter-1-1.pgn: CCC 12.1: RubiChess vs. Winter (1|1)
20200106-20200106-ccc-12-2-andscacs-vs-ethereal-1-1.pgn: CCC 12.2: Andscacs vs Ethereal (1|1)
20200106-20200107-ccc-12-3-dark-allie-vs-fire-1-1.pgn: CCC 12.3: Dark Allie vs Fire (1|1)
20200107-20200108-ccc-12-8-houdini-vs-lc0-cpu-1-1.pgn: CCC 12.8: Houdini vs Lc0-CPU (1|1)
20200108-20200109-ccc-12-8-houdini-vs-lc0-cpu-1-1.pgn: CCC 12.8: Houdini vs Lc0-CPU! (1|1)
20200109-20200110-ccc-12-72-lc0-vs-rofchade-1-1.pgn: CCC 12.72: Lc0 vs Rofchade (1|1)
20200110-20200111-ccc-12-6-stoofvlees-vs-komodo-mc-1-1.pgn: CCC 12.6: Stoofvlees vs Komodo MC (1|1)
20200111-20200112-ccc-12-9-leelenstein-vs-rubichess-1-1.pgn: CCC 12.9: Leelenstein vs RubiChess (1|1)
