PLAYER	RATING
4k.c 5	2974
4k.c 8	3063
4ku 1.1	2608
4ku 2.0	2781
4ku 3.0	2907
4ku 3.1	2910
4ku 4.0	3040
4ku 5.1	3036
Abbess 2016.12.11	2149
Abbess 2018.02.07	2171
Abbess 2022B	2386
AbhinEngine 1.0.1	1713
Abrok 5.0	2510
Absolute-Zero 2.4.0.0	2348
Absolute-Zero 2.4.4.0	2342
Absolute-Zero 2.4.7.2	2398
Absolute-Zero 3.3.2.0	2414
Abulafia 0.61	1597
ACE 0.1	698
Achillees 1.0	2298
Achillees 1.0.1	2278
Aconcagua 4.1.0	2535
Aconcagua 5.0.0	2695
Aconcagua 5.1.0	2720
Acqua 20160614	870
Acqua 20160918	843
AcquaD 3.2.26	888
AcquaD 3.9.1 LDC	1027
AdaChess 1.0	1236
AdaChess 2.0	1762
AdaChess 20161108	1808
AdaChess 20170209	1801
AdaChess 3.1	1926
AdaChess 3.4	1846
AdaChess 3.6	2072
AdaChess 4.0	2146
Adam 3.1	2195
Adam 3.2	2234
Adam 3.3	2321
Adamant 1.7	1871
Admete 1.2.1	2347
Admete 1.3.0	2451
Admete 1.4.0	2477
Admete 1.5.0	2600
Admete 1.6.0	2797
Admete 1.7.0	2885
Admete 1.8.0	3096
AdroitChess 0.3	2110
AdroitChess 0.4	2189
AICE 0.99.2	2416
Ajedrez Tactico 2.73b	1937
akimbo 0.1.1	2530
akimbo 0.2.0	2586
akimbo 0.3.0	2652
akimbo 0.4.0	2784
akimbo 0.4.1	2873
akimbo 0.5.0	3044
akimbo 0.6.0	3346
akimbo 0.7.0	3405
akimbo 0.8.0	3458
akimbo 1.0.0	3489
Aku 2025.7.9	3060
Alaric 0702b	2648
Alaric 704	2674
Alaric 707	2717
Alarm 0.93.1	2264
ALChess 1.5b	1804
ALChess 1.7	1977
ALChess 1.84	2078
Alcibiades 0.2.7	2184
Alcibiades 0.3.0	2179
Aldebaran 0.7.0	1850
Alex 1.78	1931
Alex 1.96	2190
Alex 2.03	2287
Alex 2.07a	2407
Alex 2.09	2381
Alex 2.12a	2412
Alex 2.13	2405
Alex 2.14a	2441
Alexandria 2.3	3112
Alexandria 2.4	3242
Alexandria 3.0	3245
Alexandria 3.0.1	3276
Alexandria 3.0.2	3286
Alexandria 3.1.0	3296
Alexandria 3.5	3342
Alexandria 4.0	3449
Alexandria 5.0	3532
Alexandria 5.1.0	3543
Alexandria 6.0.0	3556
Alexandria 6.1.0	3581
Alexandria 7.0.0	3606
Alexandria 7.1.0	3622
Alexandria 8.0.0	3630
Alexandria 8.1.0	3634
Alexandria 8.1.12	3638
Alexandria 8.1.2	3638
Alexandria 9.0.0	3646
Alf 1.09	2229
Alfil 11	2620
Alfil 12	2680
Alfil 13.1	2696
Alfil 15.7	3080
Alfil 15.8	3002
Alfil 6.10	2425
Alfil 7.6	2429
Alfil 8.1.1	2675
Algae 1.0	1179
Alibaba 1.38	1732
Alibaba 1.40	1604
AliChess 4.06	2309
AliChess 4.08	2277
AliChess 4.16	2295
AliChess 4.18	2324
AliChess 4.19	2324
AliChess 4.20	2350
AliChess 4.21	2339
AliChess 4.25	2335
Allie 0.5	3406
Alouette 0.0.3	758
Alouette 0.0.5	1007
Alouette 0.1.1	1035
Alouette 0.1.4	927
Alouette 0.1.5	913
Alpaca 0.2.5	1809
Alpaca 0.2.6	1821
Altair 1.0.0	2468
Altair 2.0.0	2881
Altair 3.0.0	3030
Altair 4.0.0	3070
Altair 5.0.0	3176
Altair 6.0.0	3450
Altair 7.0.0	3497
Amateur 2.82	2443
Amateur 2.86	2441
Amelia 0.12	1926
Amelia 0.15	2059
Amira 1.0	2317
Amira 1.4	2406
Amira 1.61	2626
Amira 1.71	2647
Amira 1.79	2658
Amira 1.82	2764
Amoeba 1.0	2703
Amoeba 1.2	2703
Amoeba 1.3	2748
Amoeba 1.4	2762
Amoeba 2.0	2791
Amoeba 2.1	2781
Amoeba 2.3	2824
Amoeba 2.4	2868
Amoeba 2.5	2907
Amoeba 2.6	2939
Amoeba 2.7	2949
Amoeba 2.8	2966
Amoeba 3.0	3012
Amoeba 3.1	3026
Amoeba 3.2	3038
Amoeba 3.3	3026
Amoeba 3.4	3046
Amundsen 0.65.1	2267
Amundsen 0.80	2431
Amy 0.87b	2461
Amy 0.9.5	2466
Amy 0.9.7	2529
Amyan 1.597	2535
Amyan 1.62	2608
Amyan 1.72	2660
Anaconda 2.0.1	2612
Anatoli 0.35k	2532
Andscacs 0.62u	2670
Andscacs 0.62w	2718
Andscacs 0.63	2780
Andscacs 0.64	2797
Andscacs 0.70	2882
Andscacs 0.71	2929
Andscacs 0.72	2990
Andscacs 0.80	2991
Andscacs 0.81	3048
Andscacs 0.82	3051
Andscacs 0.83	3070
Andscacs 0.84	3102
Andscacs 0.85	3094
Andscacs 0.86	3129
Andscacs 0.872	3154
Andscacs 0.88	3158
Andscacs 0.89	3182
Andscacs 0.90	3184
Andscacs 0.91	3182
Andscacs 0.91b	3122
Andscacs 0.92	3202
Andscacs 0.921	3204
Andscacs 0.93	3190
Andscacs 0.94	3190
Andscacs 0.95	3199
Anechka 0.08	2342
